"pull_number","event_number","event","actor","time","state","commit_id","referenced","sha","title","body","html_url","is_bot","is_chatgpt","is_first_chatgpt","is_proceeding_chatgpt","chatgpt_event"
"2234","0","pulled","dependabot[bot]","2025-01-01 17:32:44","closed","","False","","chore: bump python from 3.13.0-alpine3.20 to 3.13.1-alpine3.20 in /meta-mender-qemu/docker/qemux86-64","Bumps python from 3.13.0-alpine3.20 to 3.13.1-alpine3.20.


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=python&package-manager=docker&previous-version=3.13.0-alpine3.20&new-version=3.13.1-alpine3.20)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>","https://github.com/mendersoftware/meta-mender/pull/2234","True","False","False","False",""
"2234","1","labeled","dependabot[bot]","2025-01-01 17:32:45","","","False","","<NA>","<NA>","","True","False","False","False",""
"2234","2","labeled","dependabot[bot]","2025-01-01 17:32:45","","","False","","<NA>","<NA>","","True","False","False","False",""
"2234","3","commented","danielskinstad","2025-01-03 13:33:20","","","False","","<NA>","@dependabot rebase","https://github.com/mendersoftware/meta-mender/pull/2234#issuecomment-2569229073","False","False","False","False",""
"2234","4","mentioned","dependabot","2025-01-03 13:33:21","","","False","","<NA>","<NA>","","True","False","False","False",""
"2234","5","committed","dependabot[bot]","2025-01-03 13:34:04","","","False","1b8182f069ab532778b47b075a6389efb6388dca","<NA>","<NA>","https://github.com/mendersoftware/meta-mender/commit/1b8182f069ab532778b47b075a6389efb6388dca","True","False","False","False",""
"2234","6","head_ref_force_pushed","dependabot[bot]","2025-01-03 13:34:06","","1b8182f069ab532778b47b075a6389efb6388dca","False","","<NA>","<NA>","","True","False","False","False",""
"2234","7","commented","danielskinstad","2025-01-03 13:36:52","","","False","","<NA>","@mender-test-bot start pipeline","https://github.com/mendersoftware/meta-mender/pull/2234#issuecomment-2569233535","False","False","False","False",""
"2234","8","mentioned","mender-test-bot","2025-01-03 13:36:53","","","False","","<NA>","<NA>","","True","False","False","False",""
"2234","9","subscribed","mender-test-bot","2025-01-03 13:36:53","","","False","","<NA>","<NA>","","True","False","False","False",""
"2234","10","commented","mender-test-bot","2025-01-03 13:36:57","","","False","","<NA>","
Hello :smiley_cat: I created a pipeline for you here: [Pipeline-1610399875](https://gitlab.com/Northern.tech/Mender/mender-qa/-/pipelines/1610399875)

<details>
    <summary>Build Configuration Matrix</summary><p>

| Key   | Value |
| ----- | ----- |
| BUILD_BEAGLEBONEBLACK | true |
| BUILD_CLIENT | true |
| BUILD_QEMUX86_64_BIOS_GRUB | true |
| BUILD_QEMUX86_64_BIOS_GRUB_GPT | true |
| BUILD_QEMUX86_64_UEFI_GRUB | true |
| BUILD_VEXPRESS_QEMU | true |
| BUILD_VEXPRESS_QEMU_FLASH | true |
| BUILD_VEXPRESS_QEMU_UBOOT_UEFI_GRUB | true |
| META_MENDER_REV | pull/2234/head |
| RUN_INTEGRATION_TESTS | true |
| TEST_QEMUX86_64_BIOS_GRUB | true |
| TEST_QEMUX86_64_BIOS_GRUB_GPT | true |
| TEST_QEMUX86_64_UEFI_GRUB | true |
| TEST_VEXPRESS_QEMU | true |
| TEST_VEXPRESS_QEMU_FLASH | true |
| TEST_VEXPRESS_QEMU_UBOOT_UEFI_GRUB | true |


 </p></details>
","https://github.com/mendersoftware/meta-mender/pull/2234#issuecomment-2569233641","True","False","False","False",""
"2234","11","review_requested","danielskinstad","2025-01-03 17:45:39","","","False","","<NA>","<NA>","","False","False","False","False",""
"2234","12","reviewed","danielskinstad","2025-01-03 17:45:51","approved","1b8182f069ab532778b47b075a6389efb6388dca","False","","<NA>","<NA>","https://github.com/mendersoftware/meta-mender/pull/2234#pullrequestreview-2529479204","False","False","False","False",""
"2234","13","merged","danielskinstad","2025-01-03 17:46:23","","1436cfee4e85aae2498ba78b906357ab7e8ae08d","False","","<NA>","<NA>","","False","False","False","False",""
"2234","14","closed","danielskinstad","2025-01-03 17:46:23","","","False","","<NA>","<NA>","","False","False","False","False",""
"2234","15","head_ref_deleted","dependabot[bot]","2025-01-03 17:46:30","","","False","","<NA>","<NA>","","True","False","False","False",""
